City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Clyde River,CA,2021-10-11 00:28:43,70.4692,-68.5914,32.4,77,100,3.87
91,Provideniya,RU,2021-10-11 00:28:43,64.3833,-173.3,33.91,80,90,8.95
92,Arraial Do Cabo,BR,2021-10-11 00:28:43,-22.9661,-42.0278,67.73,85,100,21.79
93,Betioky,MG,2021-10-11 00:28:44,-23.7167,44.3833,63.57,92,23,5.39
94,Caravelas,BR,2021-10-11 00:25:09,-17.7125,-39.2481,72.41,92,99,5.75
95,Talara,PE,2021-10-11 00:28:44,-4.5772,-81.2719,65.12,89,31,14.0
96,Carnarvon,AU,2021-10-11 00:28:44,-24.8667,113.6333,68.07,68,0,18.41
97,Alekseyevsk,RU,2021-10-11 00:28:45,57.8406,108.3492,39.85,93,100,12.97
98,Sioux Lookout,CA,2021-10-11 00:28:45,50.1001,-91.917,60.87,94,90,8.05
99,Port Hardy,CA,2021-10-11 00:28:45,50.6996,-127.4199,50.0,81,75,4.61
100,Bouna,CI,2021-10-11 00:28:46,9.2667,-3.0,73.87,90,95,4.16
101,Hovd,MN,2021-10-11 00:28:46,48.0056,91.6419,34.21,34,56,1.59
102,Souillac,MU,2021-10-11 00:28:46,-20.5167,57.5167,73.78,88,75,11.5
103,Miyako,JP,2021-10-11 00:28:47,39.6367,141.9525,73.99,73,98,7.38
104,Suntar,RU,2021-10-11 00:28:47,62.1444,117.6319,33.31,72,100,13.71
105,Saldanha,ZA,2021-10-11 00:26:16,-33.0117,17.9442,55.45,49,89,8.16
106,Mareeba,AU,2021-10-11 00:28:48,-17.0,145.4333,84.33,57,18,1.95
107,Georgetown,MY,2021-10-11 00:28:48,5.4112,100.3354,80.89,87,20,1.01
108,Darhan,MN,2021-10-11 00:28:48,49.4867,105.9228,37.04,56,4,4.79
109,Ponta Do Sol,PT,2021-10-11 00:28:48,32.6667,-17.1,70.72,68,17,5.08
110,Sungaipenuh,ID,2021-10-11 00:26:07,-2.0833,101.3833,64.62,99,100,2.42
111,Te Anau,NZ,2021-10-11 00:28:49,-45.4167,167.7167,37.0,99,100,2.55
112,Ponta Delgada,PT,2021-10-11 00:28:49,37.7333,-25.6667,72.32,88,75,8.05
113,Mayo,US,2021-10-11 00:28:50,38.8876,-76.5119,69.12,91,90,7.0
114,Bahar,IR,2021-10-11 00:28:50,34.9072,48.4414,48.15,53,0,4.92
115,Two Hills,CA,2021-10-11 00:28:50,53.7169,-111.7518,43.52,100,100,17.27
116,Bainbridge,US,2021-10-11 00:28:50,47.6262,-122.5212,55.58,78,75,1.01
117,Dikson,RU,2021-10-11 00:24:41,73.5069,80.5464,29.55,65,100,20.4
118,Ilulissat,GL,2021-10-11 00:27:44,69.2167,-51.1,32.02,86,75,0.0
119,Cayenne,GF,2021-10-11 00:28:51,4.9333,-52.3333,83.08,83,0,3.0
120,Bandarbeyla,SO,2021-10-11 00:28:51,9.4942,50.8122,78.91,86,82,21.9
121,Whitianga,NZ,2021-10-11 00:28:51,-36.8333,175.7,64.02,55,14,10.78
122,Port Alfred,ZA,2021-10-11 00:24:13,-33.5906,26.891,58.3,74,23,20.71
123,Coffeyville,US,2021-10-11 00:28:52,37.0373,-95.6164,78.85,62,90,5.75
124,Ordu,TR,2021-10-11 00:28:52,40.9086,37.6845,46.9,90,10,3.42
125,Waingapu,ID,2021-10-11 00:28:53,-9.6567,120.2641,81.9,54,48,1.9
126,Saint George,US,2021-10-11 00:27:06,37.1041,-113.5841,73.63,27,1,1.99
127,Lorengau,PG,2021-10-11 00:28:53,-2.0226,147.2712,85.19,66,72,3.6
128,Dhidhdhoo,MV,2021-10-11 00:28:53,6.8833,73.1,82.89,79,100,20.45
129,New Norfolk,AU,2021-10-11 00:24:22,-42.7826,147.0587,55.65,37,85,4.72
130,Tasiilaq,GL,2021-10-11 00:24:45,65.6145,-37.6368,32.16,53,5,3.04
131,Pevek,RU,2021-10-11 00:28:54,69.7008,170.3133,23.61,92,100,5.19
132,Itaituba,BR,2021-10-11 00:28:54,-4.2761,-55.9836,85.19,53,87,1.99
133,Kahului,US,2021-10-11 00:28:10,20.8947,-156.47,82.42,80,40,25.32
134,Salamiyah,SY,2021-10-11 00:28:55,35.0113,37.0532,66.51,54,37,2.77
135,Avarua,CK,2021-10-11 00:28:55,-21.2078,-159.775,77.05,73,100,8.05
136,Narsaq,GL,2021-10-11 00:28:56,60.9167,-46.05,30.42,47,19,2.42
137,Tuktoyaktuk,CA,2021-10-11 00:24:30,69.4541,-133.0374,30.2,86,75,6.91
138,Belyy Yar,RU,2021-10-11 00:28:56,53.6039,91.3903,44.49,57,0,6.71
139,Moose Factory,CA,2021-10-11 00:28:56,51.2585,-80.6094,66.2,82,40,8.05
140,Airai,TL,2021-10-11 00:24:22,-8.9266,125.4092,74.25,45,97,1.99
141,Maldonado,UY,2021-10-11 00:28:57,-34.6667,-54.9167,60.19,81,100,12.97
142,Longkou,CN,2021-10-11 00:28:57,37.6508,120.3286,62.87,43,26,13.67
143,Saint-Philippe,RE,2021-10-11 00:28:57,-21.3585,55.7679,71.15,88,6,5.32
144,Vila Do Maio,CV,2021-10-11 00:28:58,15.1333,-23.2167,79.59,79,0,15.12
145,Tautira,PF,2021-10-11 00:28:58,-17.7333,-149.15,84.22,76,80,10.27
146,Vila Franca Do Campo,PT,2021-10-11 00:28:58,37.7167,-25.4333,72.01,88,100,10.94
147,Lakes Entrance,AU,2021-10-11 00:29:00,-37.8811,147.981,57.16,59,12,7.7
148,Vanavara,RU,2021-10-11 00:29:00,60.34,102.2797,26.13,89,74,9.46
149,Hun,LY,2021-10-11 00:29:01,29.1268,15.9477,71.65,52,0,7.92
150,Pizhanka,RU,2021-10-11 00:29:01,57.4604,48.542,43.9,96,97,8.81
151,Tibiri,NE,2021-10-11 00:29:01,13.5627,7.0485,85.21,17,100,3.13
152,Vestmannaeyjar,IS,2021-10-11 00:25:21,63.4427,-20.2734,42.57,72,39,12.08
153,Isangel,VU,2021-10-11 00:25:28,-19.55,169.2667,82.51,65,75,5.75
154,Kunming,CN,2021-10-11 00:29:02,25.0389,102.7183,53.53,94,90,11.18
155,Griffith,US,2021-10-11 00:29:03,41.5284,-87.4237,77.95,67,1,1.01
156,Kodiak,US,2021-10-11 00:29:03,57.79,-152.4072,45.45,69,100,9.48
157,Latung,PH,2021-10-11 00:29:03,5.5,120.8833,84.15,77,78,9.13
158,Yerbogachen,RU,2021-10-11 00:29:04,61.2767,108.0108,30.22,84,100,11.12
159,Erbach,DE,2021-10-11 00:29:04,49.6561,8.9964,47.08,93,36,1.88
160,Verkhnevilyuysk,RU,2021-10-11 00:29:04,63.4453,120.3167,31.21,87,99,13.33
161,Nizwa,OM,2021-10-11 00:29:04,22.9333,57.5333,81.73,41,1,0.89
162,Hobart,AU,2021-10-11 00:29:05,-42.8794,147.3294,56.01,49,20,3.0
163,Norman Wells,CA,2021-10-11 00:29:05,65.282,-126.8329,32.04,86,75,10.36
164,Nobres,BR,2021-10-11 00:29:05,-14.7203,-56.3275,87.46,47,67,4.0
165,Vila Velha,BR,2021-10-11 00:29:06,-20.3297,-40.2925,67.95,100,90,2.3
166,Pombas,CV,2021-10-11 00:29:06,17.1503,-25.0201,74.98,82,6,12.08
167,La Seyne-Sur-Mer,FR,2021-10-11 00:29:07,43.0982,5.8847,60.89,68,2,9.06
168,Hobyo,SO,2021-10-11 00:29:08,5.3505,48.5268,78.33,88,48,15.86
169,Vaini,TO,2021-10-11 00:29:08,-21.2,-175.2,77.16,83,75,9.22
170,Praia,CV,2021-10-11 00:26:11,14.9215,-23.5087,79.34,78,20,17.27
171,Puerto Quijarro,BO,2021-10-11 00:29:08,-17.7833,-57.7667,86.79,48,49,3.06
172,Allapalli,IN,2021-10-11 00:29:09,19.4167,80.0667,69.24,82,9,3.36
173,Saravan,AM,2021-10-11 00:29:09,39.7196,45.6483,36.25,44,0,4.88
174,Chiang Klang,TH,2021-10-11 00:29:09,19.2938,100.8617,74.53,94,100,2.01
