City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
359,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
367,Karratha,AU,83.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
368,Basna,IN,80.71,clear sky,21.2833,82.8167,Hotel Grand Alfa [BASNA]
371,Ipubi,BR,73.96,broken clouds,-7.6519,-40.1489,Só Love Motel
379,Tamiahua,MX,78.78,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
381,Muli,MV,83.21,broken clouds,2.9167,73.5667,Medhufushi Island Resort
394,San Patricio,US,84.07,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Samarai,PG,79.36,overcast clouds,-10.6167,150.6667,Nuli Sapi
400,Houma,US,76.98,few clouds,29.5958,-90.7195,Courtyard by Marriott Houma
401,Ishinomaki,JP,86,scattered clouds,38.4167,141.3,Hotel Route Inn Ishinomaki Henan Inter
403,Umm Lajj,SA,83.61,clear sky,25.0213,37.2685,Moon light Furnished Units
404,Altamira,BR,76.55,clear sky,-3.2033,-52.2064,Requinte Hotel
405,San Nicolas,PH,80.51,heavy intensity rain,18.1725,120.5953,NORTHVIEW Hotel
406,Makakilo City,US,80.92,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
407,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
411,Pucallpa,PE,80.64,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
414,Guane,CU,74.75,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
420,Rincon,US,75.06,overcast clouds,32.296,-81.2354,Days Inn Rincon
425,Key Largo,US,80.01,few clouds,25.0865,-80.4473,Bayside Inn Key Largo
426,Ranchi,IN,80.71,haze,23.35,85.3333,Radisson Blu Hotel Ranchi
427,Dingle,PH,85.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
428,Srikakulam,IN,85.75,scattered clouds,18.3,83.9,Micro Systems
430,Marawi,PH,79.65,overcast clouds,7.9986,124.2928,Derogongan Residence
431,Nazas,MX,75.45,clear sky,25.2333,-104.1333,Hotel Río Nazas
433,Phonhong,LA,80.42,light rain,18.5007,102.4166,Manyvong Guest House
438,Sur,OM,85.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
442,Veraval,IN,84.47,broken clouds,20.9,70.3667,Lords Inn Somnath
443,Bac Lieu,VN,84.29,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
448,Ca Mau,VN,83.41,moderate rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
451,Nha Trang,VN,86,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
454,Saint-Pierre,RE,77.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
456,Srandakan,ID,82.27,overcast clouds,-7.9386,110.2506,Puri Brata
458,Saint-Leu,RE,76.68,clear sky,-21.15,55.2833,La Caz Oceane
459,Beeville,US,80.78,broken clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
467,Ascension,US,76.98,clear sky,30.2169,-90.9001,Highland Inn
468,Kawalu,ID,82.15,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
469,Ziniare,BF,78.84,overcast clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
474,Trincomalee,LK,83.08,overcast clouds,8.5711,81.2335,Welcombe Hotel
477,Kabin Buri,TH,84.85,overcast clouds,13.9511,101.7177,At Home Kabinburi
487,Sola,VU,80.67,few clouds,-13.8833,167.55,Leumerus Bungalows
489,Khuldabad,IN,79.72,few clouds,20.05,75.1833,Capital O 29643 Etranger Resort
492,Marsh Harbour,BS,81.72,few clouds,26.5412,-77.0636,Abaco Beach Resort
495,Katsuura,JP,82.51,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
497,Kilinochchi,LK,83.91,overcast clouds,9.3961,80.3982,Solaivanam Guest House
499,Totness,SR,79.41,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
500,Aswan,EG,83.5,clear sky,24.0934,32.907,Nuba Nile
502,Japura,ID,82.06,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
509,Fomboni,KM,76.77,broken clouds,-12.28,43.7425,Auberge les abou
513,San Ignacio,BZ,74.88,few clouds,17.1561,-89.0714,Rainforest Haven Inn
524,Paratinga,BR,82.71,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
525,Soyo,AO,75.36,overcast clouds,-6.1349,12.3689,Hotel Mpampa
528,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
529,Jibuti,DJ,81.82,broken clouds,11.5,42.5,Orchid Main Camp Goubet
530,Nova Olinda Do Norte,BR,77.58,broken clouds,-3.8881,-59.0942,Jardim Paiva Hotel
531,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
538,Bonthe,SL,77.43,light rain,7.5264,-12.505,Bonthe Holiday Village
539,Byron Bay,AU,75.87,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
543,Barabai,ID,85.59,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
546,Juntas,CR,74.66,overcast clouds,10.2809,-84.9595,Hotel Pueblo Antiguo Abangares and Hot Springs
553,Puerto Rondon,CO,73.98,overcast clouds,6.2805,-71.1,Urbanización Santa Clara
554,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
556,Luganville,VU,82.06,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
557,Benghazi,LY,76.98,broken clouds,32.1167,20.0667,Tibesti Hotel
561,Tonantins,BR,74.26,clear sky,-2.8731,-67.8022,Hotel Rei Davi
565,Odweyne,SO,75.27,overcast clouds,9.4092,45.064,Eng Hiirey House
568,Vilhena,BR,74.32,broken clouds,-12.7406,-60.1458,Hotel Mirage
571,Pemba,MZ,74.1,scattered clouds,-12.974,40.5178,Guesthouse Samotina
572,Tabou,CI,76.86,light rain,4.423,-7.3528,hotêl doufoulougou
575,Pio Xii,BR,75.63,clear sky,-3.8325,-45.1525,BACURI DOS QUARESMAS
577,Bontang,ID,84.74,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
579,Grand Haven,US,74.43,clear sky,43.0631,-86.2284,"Holiday Inn Grand Haven-Spring Lake, an IHG Hotel"
580,Bagotville,AU,73.42,light rain,-28.9833,153.4167,Broadwater Sunrise Caravan Park
582,Oda,JP,77.77,overcast clouds,35.1833,132.5,Sky Hotel Oda
583,Galveston,US,82.22,few clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
